folioviv,foliohog,huespedes,huesp_come,trabaja_do,cuid_perso,lavandero,chofer,cocinero,jardinero,tot_integ,tot_hom,tot_muj
0100008010,1,0, , , , , , , ,4,2,2
0100008034,1,0, ,1,2,2,2,2,2,5,4,1
0100008077,1,0, ,2,2,2,2,2,1,2,1,1
0100025016,1,0, , , , , , , ,4,1,3
0100025022,1,0, , , , , , , ,4,2,2
0100025053,1,0, , , , , , , ,1,0,1
0100025080,1,0, , , , , , , ,3,2,1
0100025090,1,0, , , , , , , ,2,1,1
0100027018,1,0, ,1,2,2,2,2,2,4,2,2
0100027033,1,0, , , , , , , ,7,4,3
0100027071,1,0, ,1,2,2,2,2,1,5,3,2
0100027097,1,0, ,1,2,2,2,2,2,5,1,4
0100031003,1,0, , , , , , , ,4,2,2
0100031037,1,0, , , , , , , ,5,4,1
0100031054,1,0, , , , , , , ,5,2,3
0100031074,1,0, , , , , , , ,1,1,0
0100031092,1,0, , , , , , , ,4,2,2
0100041041,1,0, , , , , , , ,2,1,1
0100041047,1,0, , , , , , , ,3,2,1
0100041094,1,0, , , , , , , ,3,2,1
0100041118,1,0, , , , , , , ,1,1,0
0100052023,1,0, , , , , , , ,1,1,0
0100052056,1,0, , , , , , , ,8,4,4
0100052081,1,0, , , , , , , ,1,0,1
0100052091,1,0, , , , , , , ,5,2,3
0100062011,1,0, , , , , , , ,3,1,2
0100062034,1,0, , , , , , , ,2,1,1
0100062055,1,0, , , , , , , ,4,2,2
0100062077,1,0, , , , , , , ,9,3,6
0100062100,1,0, , , , , , , ,7,5,2
0100067033,1,0, , , , , , , ,4,3,1
0100067050,1,0, ,1,2,2,2,2,2,3,1,2
0100067097,1,0, , , , , , , ,1,1,0
0100068013,1,0, , , , , , , ,5,2,3
0100068034,1,0, , , , , , , ,6,1,5
0100068043,1,0, , , , , , , ,5,2,3
0100068067,1,0, , , , , , , ,4,2,2
0100068091,1,0, , , , , , , ,6,3,3
0100074012,1,0, , , , , , , ,5,2,3
0100074037,1,0, , , , , , , ,3,2,1
0100074063,1,0, , , , , , , ,5,2,3
0100074087,1,0, , , , , , , ,6,2,4
0100074087,2,0, , , , , , , ,2,1,1
0100074110,1,0, , , , , , , ,1,0,1
0100076012,1,0, , , , , , , ,3,1,2
0100076036,1,0, , , , , , , ,4,2,2
0100076053,1,0, , , , , , , ,2,1,1
0100076075,1,0, , , , , , , ,4,1,3
0100076098,1,0, , , , , , , ,1,1,0
0100080020,1,0, , , , , , , ,3,2,1
0100080040,1,0, , , , , , , ,2,1,1
0100080056,1,0, , , , , , , ,4,1,3
0100080076,1,0, , , , , , , ,1,1,0
0100080093,1,0, , , , , , , ,7,5,2
0100097012,1,0, , , , , , , ,4,1,3
0100097012,2,0, , , , , , , ,3,2,1
0100097042,1,0, , , , , , , ,1,1,0
0100097068,1,0, ,1,2,2,2,2,2,5,2,3
0100097071,1,0, , , , , , , ,1,1,0
0100097112,1,0, ,1,2,2,2,2,1,3,0,3
0100101001,1,0, , , , , , , ,3,1,2
0100101020,1,0, , , , , , , ,2,1,1
0100101056,1,0, , , , , , , ,3,1,2
0100105010,1,0, , , , , , , ,3,0,3
0100105039,1,0, , , , , , , ,1,0,1
0100105083,1,0, , , , , , , ,4,2,2
0100105144,1,0, , , , , , , ,1,1,0
0100105172,1,0, , , , , , , ,4,2,2
0100109002,1,0, , , , , , , ,4,2,2
0100109039,1,0, , , , , , , ,2,1,1
0100109057,1,0, , , , , , , ,4,2,2
0100109077,1,0, , , , , , , ,8,4,4
0100113034,1,0, , , , , , , ,4,2,2
0100113053,1,0, , , , , , , ,11,6,5
0100113071,1,0, , , , , , , ,3,2,1
0100117012,1,0, , , , , , , ,2,1,1
0100117034,1,0, , , , , , , ,13,5,8
0100117056,1,0, , , , , , , ,1,0,1
0100117079,1,0, , , , , , , ,1,1,0
0100117105,1,0, , , , , , , ,4,2,2
0100126006,1,0, , , , , , , ,2,1,1
0100126029,1,0, , , , , , , ,5,3,2
0100126049,1,0, ,2,2,2,2,2,1,2,1,1
0100126071,1,0, ,1,2,2,2,2,2,3,2,1
0100126091,1,0, , , , , , , ,4,1,3
0100159021,1,0, , , , , , , ,2,1,1
0100159033,1,0, , , , , , , ,1,0,1
0100159049,1,0, , , , , , , ,3,1,2
0100159069,1,0, , , , , , , ,4,2,2
0100159088,1,0, , , , , , , ,1,1,0
0100189070,1,0, , , , , , , ,2,1,1
0100189099,1,0, , , , , , , ,3,2,1
0100189129,1,0, , , , , , , ,3,1,2
0100189129,2,0, , , , , , , ,4,2,2
0100189140,1,0, , , , , , , ,4,1,3
0100190016,1,0, ,1,2,2,2,2,2,2,1,1
0100190033,1,0, ,1,2,2,2,2,1,2,0,2
0100190055,1,0, , , , , , , ,6,3,3
0100190073,1,0, , , , , , , ,2,1,1
0100192024,1,0, , , , , , , ,5,4,1
0100192030,1,0, , , , , , , ,3,2,1
0100192055,1,0, , , , , , , ,2,1,1
0100192077,1,0, , , , , , , ,3,2,1
0100194005,1,0, , , , , , , ,1,0,1
0100194034,1,0, , , , , , , ,1,1,0
0100194068,1,0, , , , , , , ,5,2,3
0100194096,1,0, , , , , , , ,2,1,1
0100194121,1,0, , , , , , , ,4,2,2
0100208014,1,0, ,1,2,2,2,2,2,1,0,1
0100208029,1,0, , , , , , , ,1,0,1
0100208049,1,0, , , , , , , ,2,1,1
0100220017,1,0, , , , , , , ,2,2,0
0100220038,1,0, , , , , , , ,6,2,4
0100220057,1,0, , , , , , , ,5,3,2
0100220075,1,0, , , , , , , ,1,1,0
0100220089,1,0, , , , , , , ,2,0,2
0100243016,1,0, , , , , , , ,2,1,1
0100243073,1,0, , , , , , , ,3,1,2
0100243099,1,0, ,1,2,2,2,2,2,1,0,1
0100243126,1,0, , , , , , , ,2,1,1
0100273022,1,0, , , , , , , ,2,0,2
0100273097,1,0, , , , , , , ,5,1,4
0100273130,1,0, , , , , , , ,3,2,1
0100284033,1,0, , , , , , , ,10,6,4
0100284072,1,0, ,1,2,2,2,2,2,4,3,1
0100284098,1,0, , , , , , , ,4,2,2
0100284115,1,0, , , , , , , ,4,2,2
0100284127,1,0, , , , , , , ,7,2,5
0100291015,1,0, , , , , , , ,2,2,0
0100291035,1,0, ,1,2,2,2,2,2,3,0,3
0100291052,1,0, , , , , , , ,6,3,3
0100291081,1,0, , , , , , , ,2,1,1
0100298019,1,0, , , , , , , ,4,3,1
0100298046,1,0, ,1,2,2,2,2,2,2,1,1
0100298072,1,0, ,1,2,2,2,2,2,4,2,2
0100298090,1,0, ,1,2,2,2,2,2,4,2,2
0100298118,1,0, ,1,2,2,2,2,2,6,4,2
0100318029,1,0, ,1,2,2,2,2,2,3,2,1
0100318054,1,0, ,1,2,2,2,2,2,4,3,1
0100318098,1,0, ,2,2,2,2,2,1,3,0,3
0100318107,1,0, , , , , , , ,2,2,0
0100321023,1,0, , , , , , , ,4,2,2
0100321057,1,0, , , , , , , ,3,2,1
0100322002,1,0, ,1,2,1,2,2,1,6,2,4
0100322016,1,0, , , , , , , ,3,1,2
0100322030,1,0, , , , , , , ,1,0,1
0100322048,1,0, , , , , , , ,3,0,3
0100322105,1,0, , , , , , , ,1,1,0
0100326001,1,0, , , , , , , ,3,1,2
0100326014,1,0, , , , , , , ,6,3,3
0100326043,1,0, , , , , , , ,2,1,1
0100326066,1,0, , , , , , , ,1,0,1
0100326100,1,0, , , , , , , ,1,0,1
0100328018,1,0, , , , , , , ,3,2,1
0100328057,1,0, , , , , , , ,3,2,1
0100344035,1,0, , , , , , , ,4,3,1
0100344058,1,0, , , , , , , ,6,3,3
0100344085,1,0, , , , , , , ,7,6,1
0100344104,1,0, , , , , , , ,1,0,1
0100360014,1,0, , , , , , , ,3,2,1
0100360039,1,0, , , , , , , ,4,2,2
0100360083,1,0, , , , , , , ,5,3,2
0100360108,1,0, , , , , , , ,1,0,1
0100360108,2,0, , , , , , , ,5,4,1
0100360117,1,0, , , , , , , ,1,1,0
0100363010,1,0, , , , , , , ,4,1,3
0100363040,1,0, , , , , , , ,4,2,2
0100363089,1,0, , , , , , , ,2,1,1
0100363117,1,0, , , , , , , ,6,5,1
0100363135,1,0, , , , , , , ,2,0,2
0100377013,1,0, , , , , , , ,1,1,0
0100377084,1,0, , , , , , , ,7,3,4
0100377120,1,0, , , , , , , ,1,0,1
0100377138,1,0, , , , , , , ,2,1,1
0100377172,1,0, , , , , , , ,2,1,1
0100390006,1,0, , , , , , , ,4,3,1
0100390037,1,0, , , , , , , ,2,0,2
0100390055,1,0, , , , , , , ,9,5,4
0100390070,1,0, , , , , , , ,4,1,3
0100391091,1,0, , , , , , , ,2,2,0
0100395029,1,0, , , , , , , ,3,1,2
0100395068,1,0, , , , , , , ,1,0,1
0100395068,2,0, , , , , , , ,1,1,0
0100395068,3,0, , , , , , , ,2,1,1
0100395092,1,0, , , , , , , ,2,1,1
0100395103,1,0, , , , , , , ,3,2,1
0100395137,1,0, , , , , , , ,4,2,2
0100397029,1,0, , , , , , , ,2,2,0
0100397058,1,0, , , , , , , ,4,2,2
0100397087,1,0, , , , , , , ,4,3,1
0100397113,1,0, , , , , , , ,1,1,0
0100397148,1,0, , , , , , , ,5,3,2
0100402002,1,0, , , , , , , ,3,2,1
0100402051,1,0, , , , , , , ,1,1,0
0100402071,1,0, , , , , , , ,4,2,2
0100402088,1,0, , , , , , , ,8,2,6
0100402090,1,0, , , , , , , ,6,3,3
0100405007,1,0, , , , , , , ,5,3,2
0100405034,1,0, , , , , , , ,1,0,1
0100405054,1,0, , , , , , , ,2,1,1
0100405078,1,0, , , , , , , ,4,2,2
0100405089,1,0, , , , , , , ,4,2,2
0100445044,1,0, , , , , , , ,1,0,1
0100445070,1,0, , , , , , , ,4,0,4
0100445108,1,0, , , , , , , ,7,4,3
0100445132,1,0, , , , , , , ,2,2,0
0100446013,1,0, , , , , , , ,4,1,3
0100446034,1,0, , , , , , , ,3,2,1
0100446057,1,0, , , , , , , ,6,4,2
0100446083,1,0, , , , , , , ,2,0,2
0100446109,1,0, , , , , , , ,7,3,4
0100446109,2,0, , , , , , , ,4,1,3
0100449003,1,0, , , , , , , ,2,1,1
0100449031,1,0, , , , , , , ,5,3,2
0100449041,1,0, , , , , , , ,5,1,4
0100449067,1,0, , , , , , , ,3,2,1
0100449067,2,0, , , , , , , ,3,1,2
0100449075,1,0, , , , , , , ,7,4,3
0100457004,1,0, , , , , , , ,1,1,0
0100457030,1,0, ,1,2,2,2,2,2,3,3,0
0100457052,1,0, , , , , , , ,3,1,2
0100457078,1,0, , , , , , , ,5,2,3
0100461025,1,0, , , , , , , ,4,1,3
0100461051,1,0, , , , , , , ,3,1,2
0100461067,1,0, , , , , , , ,5,2,3
0100461106,1,0, , , , , , , ,4,1,3
0100461127,1,0, , , , , , , ,1,1,0
0100462029,1,0, , , , , , , ,1,0,1
0100462062,1,0, , , , , , , ,2,1,1
0100462096,1,0, , , , , , , ,4,1,3
0100462121,1,0, , , , , , , ,4,3,1
0100462155,1,0, , , , , , , ,1,1,0
0100471005,1,0, , , , , , , ,4,3,1
0100471028,1,0, , , , , , , ,1,0,1
0100471072,1,0, , , , , , , ,3,0,3
0100471096,1,0, , , , , , , ,5,2,3
0100479118,1,0, , , , , , , ,1,1,0
0100479122,1,0, , , , , , , ,3,1,2
0100482013,1,0, , , , , , , ,4,2,2
0100482031,1,0, , , , , , , ,3,2,1
0100482059,1,0, , , , , , , ,3,1,2
0100482075,1,0, , , , , , , ,3,2,1
0100482087,1,0, , , , , , , ,3,1,2
0100484015,1,0, , , , , , , ,2,1,1
0100484036,1,0, , , , , , , ,5,4,1
0100484075,1,0, , , , , , , ,2,1,1
0100484094,1,0, , , , , , , ,4,1,3
0100486014,1,0, , , , , , , ,5,2,3
0100486033,1,0, , , , , , , ,3,2,1
0100486059,1,0, ,1,2,2,2,2,2,2,1,1
0100486073,1,0, , , , , , , ,3,1,2
0100488021,1,0, , , , , , , ,2,1,1
0100488044,1,0, , , , , , , ,4,3,1
0100488067,1,0, , , , , , , ,1,0,1
0100488098,1,0, , , , , , , ,8,4,4
0100488123,1,0, , , , , , , ,2,1,1
0100494013,1,0, , , , , , , ,3,0,3
0100494036,1,0, , , , , , , ,3,2,1
0100494053,1,0, , , , , , , ,3,1,2
0100494086,1,0, , , , , , , ,1,1,0
0100494110,1,0, , , , , , , ,1,0,1
0100498028,1,0, ,1,2,2,2,2,2,6,4,2
0100498076,1,0, , , , , , , ,3,2,1
0100498121,1,0, ,1,2,2,2,2,2,5,3,2
0100498168,1,0, , , , , , , ,4,2,2
0100508016,1,0, , , , , , , ,6,3,3
0100508031,1,0, , , , , , , ,3,2,1
0100508110,1,0, , , , , , , ,3,1,2
0100515020,1,0, , , , , , , ,2,1,1
0100515031,1,0, , , , , , , ,4,3,1
0100515054,1,0, , , , , , , ,4,2,2
0100515086,1,0, , , , , , , ,4,1,3
